episode_id,round,investment,repay_prop,reward
1595835244_53,0,20.0,1.0,60.0
1595835244_53,1,20.0,0.0,0.0
1595835244_53,2,15.0,0.5,27.5
1595835244_53,3,18.0,0.0,2.0
1595835244_53,4,16.0,0.75,40.0
1595835244_53,5,16.0,0.75,40.0
1595835244_53,6,16.0,0.0,4.0
1595835244_53,7,9.0,0.0,11.0
1595835244_53,8,12.0,0.0,8.0
1595835244_53,9,15.0,0.25,16.25
1595835249_87,0,15.0,0.0,5.0
1595835249_87,1,20.0,1.0,60.0
1595835249_87,2,6.0,0.25,18.5
1595835249_87,3,5.0,0.0,15.0
1595835249_87,4,5.0,1.0,30.0
1595835249_87,5,4.0,0.25,19.0
1595835249_87,6,11.0,0.25,17.25
1595835249_87,7,1.0,0.0,19.0
1595835249_87,8,6.0,1.0,32.0
1595835249_87,9,6.0,0.25,18.5
1595835252_44,0,10.0,0.5,25.0
1595835252_44,1,15.0,0.0,5.0
1595835252_44,2,4.0,1.0,28.0
1595835252_44,3,0.0,0.0,20.0
1595835252_44,4,0.0,0.0,20.0
1595835252_44,5,10.0,0.75,32.5
1595835252_44,6,10.0,0.0,10.0
1595835252_44,7,0.0,0.0,20.0
1595835252_44,8,0.0,0.0,20.0
1595835252_44,9,0.0,0.0,20.0
1595835252_51,0,4.0,1.0,28.0
1595835252_51,1,9.0,0.25,17.75
1595835252_51,2,6.0,0.0,14.0
1595835252_51,3,2.0,0.0,18.0
1595835252_51,4,0.0,0.0,20.0
1595835252_51,5,0.0,0.0,20.0
1595835252_51,6,1.0,0.75,21.25
1595835252_51,7,11.0,0.75,33.75
1595835252_51,8,8.0,0.5,24.0
1595835252_51,9,9.0,0.0,11.0
1595835252_85,0,2.0,0.75,22.5
1595835252_85,1,1.0,1.0,22.0
1595835252_85,2,0.0,0.0,20.0
1595835252_85,3,0.0,0.0,20.0
1595835252_85,4,0.0,0.0,20.0
1595835252_85,5,0.0,0.0,20.0
1595835252_85,6,1.0,0.5,20.5
1595835252_85,7,1.0,1.0,22.0
1595835252_85,8,1.0,0.5,20.5
1595835252_85,9,0.0,0.0,20.0
1595835256_50,0,20.0,0.0,0.0
1595835256_50,1,0.0,0.0,20.0
1595835256_50,2,0.0,0.0,20.0
1595835256_50,3,10.0,1.0,40.0
1595835256_50,4,20.0,0.5,30.0
1595835256_50,5,20.0,1.0,60.0
1595835256_50,6,20.0,1.0,60.0
1595835256_50,7,20.0,0.0,0.0
1595835256_50,8,10.0,0.0,10.0
1595835256_50,9,0.0,0.0,20.0
1595835256_83,0,15.0,1.0,50.0
1595835256_83,1,15.0,0.25,16.25
1595835256_83,2,15.0,0.0,5.0
1595835256_83,3,2.0,0.0,18.0
1595835256_83,4,5.0,1.0,30.0
1595835256_83,5,15.0,0.75,38.75
1595835256_83,6,5.0,1.0,30.0
1595835256_83,7,15.0,0.75,38.75
1595835256_83,8,15.0,0.25,16.25
1595835256_83,9,5.0,0.5,22.5
1595835258_75,0,15.0,0.0,5.0
1595835258_75,1,15.0,0.0,5.0
1595835258_75,2,5.0,1.0,30.0
1595835258_75,3,5.0,0.5,22.5
1595835258_75,4,5.0,0.0,15.0
1595835258_75,5,7.0,0.5,23.5
1595835258_75,6,7.0,0.0,13.0
1595835258_75,7,5.0,0.0,15.0
1595835258_75,8,5.0,1.0,30.0
1595835258_75,9,6.0,0.0,14.0
1595835265_79,0,15.0,0.75,38.75
1595835265_79,1,12.0,0.25,17.0
1595835265_79,2,8.0,0.25,18.0
1595835265_79,3,10.0,0.75,32.5
1595835265_79,4,13.0,0.25,16.75
1595835265_79,5,12.0,0.0,8.0
1595835265_79,6,8.0,1.0,36.0
1595835265_79,7,11.0,0.75,33.75
1595835265_79,8,7.0,0.75,28.75
1595835265_79,9,8.0,0.0,12.0
1595835267_65,0,14.0,0.0,6.0
1595835267_65,1,15.0,0.75,38.75
1595835267_65,2,15.0,1.0,50.0
1595835267_65,3,20.0,1.0,60.0
1595835267_65,4,13.0,1.0,46.0
1595835267_65,5,9.0,1.0,38.0
1595835267_65,6,6.0,0.0,14.0
1595835267_65,7,7.0,0.75,28.75
1595835267_65,8,15.0,0.5,27.5
1595835267_65,9,16.0,0.0,4.0
1595835269_9,0,15.0,1.0,50.0
1595835269_9,1,15.0,0.5,27.5
1595835269_9,2,15.0,1.0,50.0
1595835269_9,3,20.0,1.0,60.0
1595835269_9,4,15.0,1.0,50.0
1595835269_9,5,10.0,0.25,17.5
1595835269_9,6,15.0,0.5,27.5
1595835269_9,7,15.0,0.0,5.0
1595835269_9,8,15.0,0.0,5.0
1595835269_9,9,20.0,0.5,30.0
1595835270_94,0,15.0,0.0,5.0
1595835270_94,1,18.0,0.5,29.0
1595835270_94,2,19.0,0.25,15.25
1595835270_94,3,19.0,1.0,58.0
1595835270_94,4,19.0,0.5,29.5
1595835270_94,5,5.0,0.5,22.5
1595835270_94,6,15.0,0.25,16.25
1595835270_94,7,20.0,0.5,30.0
1595835270_94,8,15.0,0.0,5.0
1595835270_94,9,15.0,0.0,5.0
1595835271_47,0,20.0,1.0,60.0
1595835271_47,1,15.0,1.0,50.0
1595835271_47,2,19.0,1.0,58.0
1595835271_47,3,19.0,0.0,1.0
1595835271_47,4,15.0,0.25,16.25
1595835271_47,5,17.0,0.25,15.75
1595835271_47,6,15.0,0.0,5.0
1595835271_47,7,5.0,0.75,26.25
1595835271_47,8,17.0,0.75,41.25
1595835271_47,9,20.0,0.25,15.0
1595835272_83,0,15.0,0.25,16.25
1595835272_83,1,5.0,0.25,18.75
1595835272_83,2,15.0,0.25,16.25
1595835272_83,3,5.0,0.0,15.0
1595835272_83,4,15.0,0.25,16.25
1595835272_83,5,20.0,0.5,30.0
1595835272_83,6,20.0,0.75,45.0
1595835272_83,7,20.0,0.75,45.0
1595835272_83,8,20.0,0.0,0.0
1595835272_83,9,20.0,0.25,15.0
1595835273_47,0,12.0,0.25,17.0
1595835273_47,1,15.0,0.75,38.75
1595835273_47,2,17.0,0.5,28.5
1595835273_47,3,7.0,1.0,34.0
1595835273_47,4,15.0,0.0,5.0
1595835273_47,5,18.0,0.5,29.0
1595835273_47,6,20.0,0.5,30.0
1595835273_47,7,5.0,0.5,22.5
1595835273_47,8,16.0,0.5,28.0
1595835273_47,9,5.0,0.0,15.0
1595835276_50,0,15.0,0.5,27.5
1595835276_50,1,15.0,0.0,5.0
1595835276_50,2,13.0,0.75,36.25
1595835276_50,3,13.0,0.25,16.75
1595835276_50,4,14.0,0.5,27.0
1595835276_50,5,15.0,0.0,5.0
1595835276_50,6,16.0,0.75,40.0
1595835276_50,7,15.0,0.25,16.25
1595835276_50,8,17.0,1.0,54.0
1595835276_50,9,16.0,1.0,52.0
1595835276_74,0,15.0,0.25,16.25
1595835276_74,1,5.0,0.75,26.25
1595835276_74,2,15.0,0.25,16.25
1595835276_74,3,5.0,0.0,15.0
1595835276_74,4,11.0,0.5,25.5
1595835276_74,5,8.0,0.25,18.0
1595835276_74,6,5.0,1.0,30.0
1595835276_74,7,13.0,0.0,7.0
1595835276_74,8,11.0,0.25,17.25
1595835276_74,9,16.0,0.25,16.0
1595835277_79,0,15.0,1.0,50.0
1595835277_79,1,6.0,0.5,23.0
1595835277_79,2,4.0,0.75,25.0
1595835277_79,3,6.0,0.5,23.0
1595835277_79,4,11.0,0.0,9.0
1595835277_79,5,7.0,0.75,28.75
1595835277_79,6,5.0,0.25,18.75
1595835277_79,7,4.0,1.0,28.0
1595835277_79,8,4.0,0.0,16.0
1595835277_79,9,4.0,0.5,22.0
1595835280_27,0,11.0,0.75,33.75
1595835280_27,1,13.0,0.5,26.5
1595835280_27,2,15.0,0.25,16.25
1595835280_27,3,15.0,0.5,27.5
1595835280_27,4,13.0,1.0,46.0
1595835280_27,5,14.0,0.0,6.0
1595835280_27,6,13.0,0.25,16.75
1595835280_27,7,14.0,0.0,6.0
1595835280_27,8,13.0,0.75,36.25
1595835280_27,9,12.0,1.0,44.0
1595835281_11,0,16.0,0.5,28.0
1595835281_11,1,15.0,0.5,27.5
1595835281_11,2,13.0,0.25,16.75
1595835281_11,3,14.0,1.0,48.0
1595835281_11,4,15.0,0.0,5.0
1595835281_11,5,15.0,0.75,38.75
1595835281_11,6,14.0,0.75,37.5
1595835281_11,7,15.0,0.0,5.0
1595835281_11,8,13.0,0.0,7.0
1595835281_11,9,13.0,0.5,26.5
1595835287_65,0,15.0,1.0,50.0
1595835287_65,1,20.0,0.5,30.0
1595835287_65,2,16.0,0.25,16.0
1595835287_65,3,20.0,0.0,0.0
1595835287_65,4,15.0,0.25,16.25
1595835287_65,5,15.0,0.0,5.0
1595835287_65,6,15.0,1.0,50.0
1595835287_65,7,16.0,1.0,52.0
1595835287_65,8,17.0,0.75,41.25
1595835287_65,9,16.0,1.0,52.0
1595835288_73,0,16.0,1.0,52.0
1595835288_73,1,13.0,0.25,16.75
1595835288_73,2,13.0,0.0,7.0
1595835288_73,3,14.0,0.75,37.5
1595835288_73,4,15.0,1.0,50.0
1595835288_73,5,13.0,0.25,16.75
1595835288_73,6,15.0,0.0,5.0
1595835288_73,7,14.0,0.25,16.5
1595835288_73,8,15.0,0.0,5.0
1595835288_73,9,18.0,1.0,56.0
1595835289_61,0,19.0,0.75,43.75
1595835289_61,1,19.0,0.25,15.25
1595835289_61,2,15.0,0.5,27.5
1595835289_61,3,1.0,0.25,19.75
1595835289_61,4,12.0,0.25,17.0
1595835289_61,5,1.0,0.25,19.75
1595835289_61,6,20.0,0.5,30.0
1595835289_61,7,20.0,0.25,15.0
1595835289_61,8,15.0,0.0,5.0
1595835289_61,9,20.0,0.0,0.0
1595835296_3,0,15.0,0.5,27.5
1595835296_3,1,15.0,0.25,16.25
1595835296_3,2,14.0,0.5,27.0
1595835296_3,3,18.0,1.0,56.0
1595835296_3,4,14.0,0.75,37.5
1595835296_3,5,17.0,0.75,41.25
1595835296_3,6,19.0,0.75,43.75
1595835296_3,7,17.0,0.75,41.25
1595835296_3,8,17.0,0.25,15.75
1595835296_3,9,16.0,0.0,4.0
1595835297_55,0,15.0,0.0,5.0
1595835297_55,1,20.0,0.0,0.0
1595835297_55,2,5.0,1.0,30.0
1595835297_55,3,7.0,0.0,13.0
1595835297_55,4,4.0,0.25,19.0
1595835297_55,5,7.0,0.75,28.75
1595835297_55,6,10.0,0.5,25.0
1595835297_55,7,5.0,0.0,15.0
1595835297_55,8,14.0,1.0,48.0
1595835297_55,9,14.0,1.0,48.0
1595835315_17,0,10.0,1.0,40.0
1595835315_17,1,15.0,0.0,5.0
1595835315_17,2,0.0,0.0,20.0
1595835315_17,3,5.0,0.0,15.0
1595835315_17,4,0.0,0.0,20.0
1595835315_17,5,7.0,0.25,18.25
1595835315_17,6,16.0,1.0,52.0
1595835315_17,7,5.0,0.75,26.25
1595835315_17,8,0.0,0.0,20.0
1595835315_17,9,0.0,0.0,20.0
1595835321_87,0,12.0,1.0,44.0
1595835321_87,1,13.0,0.75,36.25
1595835321_87,2,14.0,0.5,27.0
1595835321_87,3,14.0,0.0,6.0
1595835321_87,4,12.0,0.5,26.0
1595835321_87,5,13.0,1.0,46.0
1595835321_87,6,15.0,0.0,5.0
1595835321_87,7,15.0,1.0,50.0
1595835321_87,8,14.0,0.0,6.0
1595835321_87,9,15.0,1.0,50.0
1595835323_63,0,15.0,0.5,27.5
1595835323_63,1,19.0,0.75,43.75
1595835323_63,2,15.0,0.25,16.25
1595835323_63,3,17.0,0.25,15.75
1595835323_63,4,13.0,1.0,46.0
1595835323_63,5,17.0,1.0,54.0
1595835323_63,6,14.0,0.0,6.0
1595835323_63,7,17.0,0.25,15.75
1595835323_63,8,17.0,0.0,3.0
1595835323_63,9,13.0,1.0,46.0
1595835324_9,0,5.0,1.0,30.0
1595835324_9,1,17.0,0.25,15.75
1595835324_9,2,8.0,0.75,30.0
1595835324_9,3,15.0,1.0,50.0
1595835324_9,4,19.0,0.0,1.0
1595835324_9,5,8.0,0.0,12.0
1595835324_9,6,15.0,0.25,16.25
1595835324_9,7,13.0,0.75,36.25
1595835324_9,8,20.0,1.0,60.0
1595835324_9,9,20.0,0.0,0.0
1595835334_55,0,15.0,1.0,50.0
1595835334_55,1,11.0,0.5,25.5
1595835334_55,2,15.0,0.0,5.0
1595835334_55,3,7.0,0.5,23.5
1595835334_55,4,8.0,1.0,36.0
1595835334_55,5,12.0,1.0,44.0
1595835334_55,6,12.0,0.75,35.0
1595835334_55,7,14.0,0.25,16.5
1595835334_55,8,7.0,1.0,34.0
1595835334_55,9,4.0,1.0,28.0
1595835343_22,0,15.0,0.75,38.75
1595835343_22,1,15.0,0.25,16.25
1595835343_22,2,8.0,0.0,12.0
1595835343_22,3,5.0,0.0,15.0
1595835343_22,4,6.0,0.0,14.0
1595835343_22,5,4.0,1.0,28.0
1595835343_22,6,7.0,0.75,28.75
1595835343_22,7,8.0,0.75,30.0
1595835343_22,8,7.0,0.0,13.0
1595835343_22,9,5.0,0.0,15.0
1595835347_72,0,15.0,0.25,16.25
1595835347_72,1,15.0,0.75,38.75
1595835347_72,2,16.0,0.75,40.0
1595835347_72,3,15.0,0.0,5.0
1595835347_72,4,12.0,1.0,44.0
1595835347_72,5,11.0,0.25,17.25
1595835347_72,6,14.0,0.5,27.0
1595835347_72,7,8.0,0.0,12.0
1595835347_72,8,12.0,0.25,17.0
1595835347_72,9,9.0,0.25,17.75
1595835350_28,0,4.0,1.0,28.0
1595835350_28,1,5.0,1.0,30.0
1595835350_28,2,6.0,0.75,27.5
1595835350_28,3,13.0,0.5,26.5
1595835350_28,4,13.0,1.0,46.0
1595835350_28,5,13.0,0.5,26.5
1595835350_28,6,15.0,0.75,38.75
1595835350_28,7,15.0,0.0,5.0
1595835350_28,8,12.0,0.5,26.0
1595835350_28,9,13.0,0.75,36.25
1595835356_55,0,10.0,1.0,40.0
1595835356_55,1,5.0,0.25,18.75
1595835356_55,2,5.0,0.25,18.75
1595835356_55,3,2.0,0.25,19.5
1595835356_55,4,4.0,1.0,28.0
1595835356_55,5,7.0,0.0,13.0
1595835356_55,6,10.0,1.0,40.0
1595835356_55,7,8.0,0.25,18.0
1595835356_55,8,11.0,0.0,9.0
1595835356_55,9,0.0,0.0,20.0
1595835372_27,0,5.0,0.75,26.25
1595835372_27,1,10.0,0.75,32.5
1595835372_27,2,5.0,0.25,18.75
1595835372_27,3,15.0,1.0,50.0
1595835372_27,4,20.0,0.5,30.0
1595835372_27,5,9.0,0.5,24.5
1595835372_27,6,10.0,0.75,32.5
1595835372_27,7,15.0,0.25,16.25
1595835372_27,8,4.0,0.0,16.0
1595835372_27,9,7.0,0.0,13.0
1595835383_34,0,14.0,0.25,16.5
1595835383_34,1,7.0,0.25,18.25
1595835383_34,2,6.0,0.75,27.5
1595835383_34,3,13.0,0.0,7.0
1595835383_34,4,0.0,0.0,20.0
1595835383_34,5,14.0,0.5,27.0
1595835383_34,6,16.0,1.0,52.0
1595835383_34,7,14.0,1.0,48.0
1595835383_34,8,20.0,1.0,60.0
1595835383_34,9,20.0,0.0,0.0
1595835384_53,0,17.0,0.25,15.75
1595835384_53,1,13.0,1.0,46.0
1595835384_53,2,15.0,0.25,16.25
1595835384_53,3,14.0,1.0,48.0
1595835384_53,4,16.0,1.0,52.0
1595835384_53,5,16.0,0.25,16.0
1595835384_53,6,15.0,1.0,50.0
1595835384_53,7,18.0,0.75,42.5
1595835384_53,8,17.0,0.75,41.25
1595835384_53,9,14.0,0.0,6.0
1595835387_39,0,16.0,0.75,40.0
1595835387_39,1,16.0,0.75,40.0
1595835387_39,2,16.0,0.75,40.0
1595835387_39,3,15.0,1.0,50.0
1595835387_39,4,16.0,1.0,52.0
1595835387_39,5,15.0,1.0,50.0
1595835387_39,6,16.0,1.0,52.0
1595835387_39,7,17.0,0.25,15.75
1595835387_39,8,16.0,0.75,40.0
1595835387_39,9,16.0,0.0,4.0
1595835393_76,0,7.0,0.75,28.75
1595835393_76,1,8.0,0.5,24.0
1595835393_76,2,2.0,0.75,22.5
1595835393_76,3,3.0,0.25,19.25
1595835393_76,4,2.0,0.25,19.5
1595835393_76,5,9.0,0.25,17.75
1595835393_76,6,0.0,0.0,20.0
1595835393_76,7,1.0,1.0,22.0
1595835393_76,8,1.0,0.5,20.5
1595835393_76,9,0.0,0.0,20.0
1595835399_63,0,13.0,0.5,26.5
1595835399_63,1,15.0,0.0,5.0
1595835399_63,2,14.0,0.75,37.5
1595835399_63,3,15.0,0.25,16.25
1595835399_63,4,17.0,1.0,54.0
1595835399_63,5,16.0,1.0,52.0
1595835399_63,6,15.0,0.75,38.75
1595835399_63,7,16.0,1.0,52.0
1595835399_63,8,15.0,0.75,38.75
1595835399_63,9,16.0,0.25,16.0
1595835406_78,0,16.0,0.75,40.0
1595835406_78,1,20.0,0.5,30.0
1595835406_78,2,17.0,0.0,3.0
1595835406_78,3,17.0,0.25,15.75
1595835406_78,4,17.0,0.75,41.25
1595835406_78,5,20.0,0.25,15.0
1595835406_78,6,20.0,0.5,30.0
1595835406_78,7,19.0,0.75,43.75
1595835406_78,8,20.0,0.5,30.0
1595835406_78,9,16.0,0.75,40.0
1595835412_13,0,15.0,0.75,38.75
1595835412_13,1,20.0,0.5,30.0
1595835412_13,2,17.0,0.25,15.75
1595835412_13,3,5.0,0.5,22.5
1595835412_13,4,11.0,0.5,25.5
1595835412_13,5,15.0,0.25,16.25
1595835412_13,6,11.0,0.5,25.5
1595835412_13,7,7.0,0.75,28.75
1595835412_13,8,9.0,0.75,31.25
1595835412_13,9,12.0,0.25,17.0
1595835456_99,0,15.0,0.25,16.25
1595835456_99,1,16.0,0.75,40.0
1595835456_99,2,7.0,0.75,28.75
1595835456_99,3,7.0,0.75,28.75
1595835456_99,4,8.0,1.0,36.0
1595835456_99,5,10.0,0.0,10.0
1595835456_99,6,8.0,0.5,24.0
1595835456_99,7,9.0,0.5,24.5
1595835456_99,8,13.0,0.0,7.0
1595835456_99,9,13.0,0.25,16.75
1595835466_17,0,15.0,0.25,16.25
1595835466_17,1,18.0,0.5,29.0
1595835466_17,2,18.0,0.25,15.5
1595835466_17,3,15.0,0.25,16.25
1595835466_17,4,17.0,0.5,28.5
1595835466_17,5,17.0,1.0,54.0
1595835466_17,6,13.0,0.75,36.25
1595835466_17,7,9.0,1.0,38.0
1595835466_17,8,14.0,0.25,16.5
1595835466_17,9,20.0,0.5,30.0
1595835491_72,0,15.0,0.25,16.25
1595835491_72,1,10.0,0.0,10.0
1595835491_72,2,15.0,0.25,16.25
1595835491_72,3,5.0,1.0,30.0
1595835491_72,4,15.0,0.5,27.5
1595835491_72,5,15.0,1.0,50.0
1595835491_72,6,5.0,0.75,26.25
1595835491_72,7,10.0,0.0,10.0
1595835491_72,8,20.0,0.75,45.0
1595835491_72,9,15.0,0.75,38.75
1595835494_20,0,10.0,0.5,25.0
1595835494_20,1,15.0,0.5,27.5
1595835494_20,2,16.0,0.5,28.0
1595835494_20,3,17.0,0.75,41.25
1595835494_20,4,17.0,1.0,54.0
1595835494_20,5,18.0,0.0,2.0
1595835494_20,6,10.0,0.25,17.5
1595835494_20,7,5.0,0.25,18.75
1595835494_20,8,2.0,0.0,18.0
1595835494_20,9,0.0,0.0,20.0
1595835517_100,0,15.0,0.75,38.75
1595835517_100,1,19.0,0.75,43.75
1595835517_100,2,18.0,0.25,15.5
1595835517_100,3,18.0,0.75,42.5
1595835517_100,4,15.0,0.25,16.25
1595835517_100,5,20.0,0.75,45.0
1595835517_100,6,15.0,0.0,5.0
1595835517_100,7,5.0,0.5,22.5
1595835517_100,8,15.0,0.5,27.5
1595835517_100,9,20.0,0.0,0.0
1595835527_45,0,13.0,0.25,16.75
1595835527_45,1,13.0,0.75,36.25
1595835527_45,2,7.0,0.25,18.25
1595835527_45,3,15.0,0.0,5.0
1595835527_45,4,17.0,0.0,3.0
1595835527_45,5,15.0,0.75,38.75
1595835527_45,6,14.0,0.0,6.0
1595835527_45,7,15.0,0.0,5.0
1595835527_45,8,16.0,1.0,52.0
1595835527_45,9,15.0,1.0,50.0
1595835527_84,0,6.0,0.25,18.5
1595835527_84,1,2.0,1.0,24.0
1595835527_84,2,5.0,0.75,26.25
1595835527_84,3,13.0,0.0,7.0
1595835527_84,4,4.0,1.0,28.0
1595835527_84,5,2.0,0.0,18.0
1595835527_84,6,4.0,0.25,19.0
1595835527_84,7,8.0,1.0,36.0
1595835527_84,8,7.0,0.25,18.25
1595835527_84,9,6.0,0.75,27.5
1595835529_49,0,9.0,0.25,17.75
1595835529_49,1,7.0,0.75,28.75
1595835529_49,2,14.0,0.25,16.5
1595835529_49,3,16.0,0.5,28.0
1595835529_49,4,8.0,0.25,18.0
1595835529_49,5,13.0,0.75,36.25
1595835529_49,6,13.0,0.25,16.75
1595835529_49,7,12.0,0.5,26.0
1595835529_49,8,15.0,1.0,50.0
1595835529_49,9,6.0,1.0,32.0
1595835531_84,0,18.0,0.5,29.0
1595835531_84,1,15.0,0.75,38.75
1595835531_84,2,17.0,0.5,28.5
1595835531_84,3,18.0,0.5,29.0
1595835531_84,4,15.0,1.0,50.0
1595835531_84,5,16.0,0.5,28.0
1595835531_84,6,18.0,0.25,15.5
1595835531_84,7,20.0,0.25,15.0
1595835531_84,8,18.0,0.25,15.5
1595835531_84,9,18.0,0.75,42.5
1595835540_51,0,8.0,0.0,12.0
1595835540_51,1,8.0,0.0,12.0
1595835540_51,2,11.0,0.25,17.25
1595835540_51,3,8.0,0.75,30.0
1595835540_51,4,7.0,1.0,34.0
1595835540_51,5,8.0,0.0,12.0
1595835540_51,6,12.0,1.0,44.0
1595835540_51,7,12.0,0.0,8.0
1595835540_51,8,8.0,0.0,12.0
1595835540_51,9,7.0,0.5,23.5
1595835542_28,0,20.0,0.5,30.0
1595835542_28,1,20.0,0.75,45.0
1595835542_28,2,20.0,1.0,60.0
1595835542_28,3,20.0,1.0,60.0
1595835542_28,4,20.0,0.75,45.0
1595835542_28,5,20.0,1.0,60.0
1595835542_28,6,20.0,0.75,45.0
1595835542_28,7,20.0,0.75,45.0
1595835542_28,8,20.0,0.75,45.0
1595835542_28,9,20.0,1.0,60.0
1595835546_76,0,13.0,0.5,26.5
1595835546_76,1,14.0,0.5,27.0
1595835546_76,2,13.0,0.5,26.5
1595835546_76,3,14.0,0.25,16.5
1595835546_76,4,13.0,0.5,26.5
1595835546_76,5,16.0,0.0,4.0
1595835546_76,6,16.0,0.0,4.0
1595835546_76,7,18.0,0.75,42.5
1595835546_76,8,16.0,1.0,52.0
1595835546_76,9,17.0,0.75,41.25
1595835547_4,0,15.0,0.25,16.25
1595835547_4,1,15.0,0.25,16.25
1595835547_4,2,5.0,0.5,22.5
1595835547_4,3,1.0,0.75,21.25
1595835547_4,4,7.0,0.75,28.75
1595835547_4,5,4.0,1.0,28.0
1595835547_4,6,3.0,0.75,23.75
1595835547_4,7,5.0,0.75,26.25
1595835547_4,8,1.0,0.0,19.0
1595835547_4,9,8.0,0.0,12.0
1595835594_95,0,8.0,1.0,36.0
1595835594_95,1,12.0,0.25,17.0
1595835594_95,2,12.0,0.5,26.0
1595835594_95,3,7.0,0.5,23.5
1595835594_95,4,16.0,1.0,52.0
1595835594_95,5,6.0,0.25,18.5
1595835594_95,6,8.0,0.0,12.0
1595835594_95,7,5.0,0.25,18.75
1595835594_95,8,11.0,0.5,25.5
1595835594_95,9,7.0,0.5,23.5
1595835649_90,0,6.0,1.0,32.0
1595835649_90,1,2.0,0.25,19.5
1595835649_90,2,3.0,1.0,26.0
1595835649_90,3,2.0,0.25,19.5
1595835649_90,4,3.0,0.25,19.25
1595835649_90,5,3.0,0.0,17.0
1595835649_90,6,2.0,0.5,21.0
1595835649_90,7,3.0,0.25,19.25
1595835649_90,8,2.0,0.25,19.5
1595835649_90,9,3.0,0.25,19.25
1595835658_18,0,12.0,0.75,35.0
1595835658_18,1,12.0,1.0,44.0
1595835658_18,2,17.0,0.75,41.25
1595835658_18,3,12.0,0.75,35.0
1595835658_18,4,12.0,0.75,35.0
1595835658_18,5,14.0,0.75,37.5
1595835658_18,6,13.0,0.5,26.5
1595835658_18,7,13.0,1.0,46.0
1595835658_18,8,13.0,0.5,26.5
1595835658_18,9,18.0,0.75,42.5
1595835671_48,0,2.0,0.0,18.0
1595835671_48,1,5.0,1.0,30.0
1595835671_48,2,7.0,0.0,13.0
1595835671_48,3,12.0,1.0,44.0
1595835671_48,4,13.0,0.0,7.0
1595835671_48,5,15.0,1.0,50.0
1595835671_48,6,8.0,0.0,12.0
1595835671_48,7,18.0,1.0,56.0
1595835671_48,8,20.0,1.0,60.0
1595835671_48,9,8.0,1.0,36.0
1595835686_21,0,1.0,0.0,19.0
1595835686_21,1,16.0,0.25,16.0
1595835686_21,2,7.0,0.5,23.5
1595835686_21,3,7.0,1.0,34.0
1595835686_21,4,7.0,0.5,23.5
1595835686_21,5,6.0,0.75,27.5
1595835686_21,6,16.0,0.25,16.0
1595835686_21,7,19.0,0.75,43.75
1595835686_21,8,5.0,0.25,18.75
1595835686_21,9,20.0,0.5,30.0
1595835699_26,0,12.0,0.0,8.0
1595835699_26,1,9.0,0.0,11.0
1595835699_26,2,8.0,0.25,18.0
1595835699_26,3,12.0,1.0,44.0
1595835699_26,4,9.0,0.5,24.5
1595835699_26,5,13.0,0.0,7.0
1595835699_26,6,8.0,0.75,30.0
1595835699_26,7,13.0,0.5,26.5
1595835699_26,8,9.0,1.0,38.0
1595835699_26,9,13.0,1.0,46.0
1595835711_25,0,14.0,0.0,6.0
1595835711_25,1,15.0,0.75,38.75
1595835711_25,2,15.0,0.25,16.25
1595835711_25,3,14.0,0.75,37.5
